"","ctname","Latitude","Population","date1","date2","date3","date4","date5","date6","date7","date8","date9","date10","date11","date12","date13","date14","date15","date16","date17","date18","date19","date20","date21","date22","date23","date24","date25","date26","date27","date28","date29"
"4873","Washington-Clark",45.771674,481857,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,6,9,10,13,16,16,48,76,82,90
"4902","Washington-Grant",47.213633,97331,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,7,8,8,8,11,18,23,27,27,33,42,44,50
"4931","Washington-Island",48.158436,84460,0,0,0,0,0,0,0,0,0,0,2,3,3,6,6,7,14,16,17,19,19,21,25,29,54,64,80,93,105
"4960","Washington-Jefferson",47.802641,31729,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,6,7,8,10,11,11,13,14
"4989","Washington-King",47.493554,2233163,9,14,21,31,51,58,71,83,116,190,234,270,328,387,420,488,562,562,693,793,934,1040,1170,1277,1359,1577,1828,2077,2161
"5018","Washington-Kitsap",47.639687,269805,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,7,7,9,12,12,15,18,18,20,27,33,42,49,56
"5047","Washington-Kittitas",47.124444,47364,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,5,6,6,8,8,8,8
"5076","Washington-Pierce",47.040716,891299,0,0,0,0,0,0,1,4,4,14,17,17,19,26,29,38,45,56,75,83,95,107,126,138,155,186,231,282,317
"5105","Washington-Skagit",48.493066,128206,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,7,9,14,18,25,28,33,45,48,63,78,91,97,101
"5134","Washington-Whatcom",48.842653,225685,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,6,7,7,10,13,14,48,64,66,86,92,102,116
"5163","Wisconsin-Dane",43.067468,542364,0,0,0,0,0,0,0,0,2,2,2,2,5,6,6,10,19,23,27,32,49,61,61,72,88,134,158,172,183
"5192","Wisconsin-Pierce",44.725337,42555,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4
"5221","California-Imperial",33.040816,181827,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,6,6,6,9,9,17,21,21,25
"5250","California-Marin",38.051817,259666,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,9,15,15,25,38,38,38,47,53,60,65,68,69,93
"5279","California-San Luis Obispo",35.385227,284010,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,7,13,16,21,27,33,42,46,54,59,67,71
"5308","Colorado-Summit",39.621023,31007,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,5,7,7,7,8,9,9,9,13,13,13
"5337","Florida-Escambia",30.611664,315534,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,9,10,17,20,28,28,37
"5366","Florida-Lake",28.764113,356495,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,6,9,14,22,26,32,38,44
"5395","Florida-Lee",26.552134,754610,0,0,0,0,0,0,2,2,2,2,3,4,4,4,5,5,7,11,11,14,17,26,30,32,52,66,95,119,152
"5424","Florida-Manatee",27.481386,394855,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,6,7,8,9,11,13,13,15,16,26,27,29,32,38
"5453","Florida-Sumter",28.714294,128754,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,4,8,10,18,24,29,40,45
"5482","Georgia-Coweta",33.352897,145864,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,6,8,9,9,10,10,14,19,20,23
"5511","Georgia-Fayette",33.412717,113459,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,8,9,9,9,9,11,12,13,14,22,26,27
"5540","Georgia-Polk",33.995961,42470,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,8,9,10,10,10,10
"5569","Kentucky-Harrison",38.443489,18778,0,0,0,0,0,0,0,0,2,3,5,6,6,6,6,6,6,7,7,7,7,7,10,10,10,10,10,10,11
"5598","Louisiana-Ascension",30.202946,124672,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,12,17,26,36,65,91,91,107,139
"5627","Massachusetts-Suffolk",42.33196,807252,1,1,1,1,1,3,3,8,10,20,21,22,26,27,31,36,42,51,72,89,108,126,154,234,342,448,631,843,940
"5656","New Jersey-Camden",39.802352,507078,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,8,10,11,15,22,33,51,61,73,95,123,163
"5685","North Carolina-Cabarrus",35.387845,211342,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,4,4,8,18,22,31,32,32
"5714","North Carolina-Durham",36.036589,316739,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,12,33,33,37,40,40,63,84,93,113,113,113
"5743","Virginia-Henrico",37.437521,329261,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,7,8,11,14,20,21,28,31,40
"5772","Washington-Snohomish",48.054913,814901,2,4,6,8,18,19,27,31,37,54,68,108,133,154,176,200,254,310,348,385,447,480,519,614,634,778,913,913,1068
