"","ctname","Latitude","Population","date1","date2","date3","date4","date5","date6","date7","date8","date9","date10","date11","date12","date13","date14","date15","date16","date17","date18","date19","date20","date21","date22","date23","date24","date25","date26","date27","date28","date29"
"1335","Florida-Okaloosa",30.665858,207269,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,4,5,9,12,14,14,14,18,22,25,31,32
"1364","Florida-Pasco",28.302024,539630,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,5,8,8,11,14,15,19,21,25,34,35
"1393","Florida-Pinellas",27.903122,975280,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,12,16,27,29,38,41,45,54,65,82,111,116
"1422","Florida-Santa Rosa",30.703633,179349,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,8,12,13,16,20
"1451","Florida-Sarasota",27.184386,426718,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,6,10,14,17,21,26,32,34,43,50,61
"1480","Florida-Seminole",28.690079,467832,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,7,8,11,12,19,22,23,32,40,54,68,81
"1509","Florida-Volusia",29.057617,547538,0,0,0,0,0,0,0,1,2,2,2,3,4,4,5,7,9,9,9,10,11,14,16,18,28,34,43,44,60
"1538","Georgia-Bartow",34.240918,106408,0,0,0,0,0,0,0,0,0,0,3,3,3,7,9,9,10,19,26,54,56,56,61,76,82,93,107,117,119
"1567","Georgia-Charlton",30.779904,12968,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1596","Georgia-Cherokee",34.244317,254149,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,7,7,9,13,16,17,18,24,30,36,44,50,54,60
"1625","Georgia-Cobb",33.93994,756865,0,0,0,0,0,0,1,1,4,6,8,8,8,15,19,22,25,28,37,47,50,67,79,90,109,119,163,185,228
"1654","Georgia-DeKalb",33.770661,756558,0,0,0,0,0,0,0,0,2,2,4,5,5,8,10,10,15,18,22,36,41,53,74,107,125,137,219,246,273
"1683","Georgia-Floyd",34.263677,97927,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,6,6,6,7,8,9,10,12,14,17,26,27,28
"1712","Georgia-Fulton",33.790034,1050114,0,0,2,2,2,2,3,3,5,5,6,8,8,13,20,27,33,49,66,88,99,111,152,191,204,231,347,378,425
