"","ctname","prop.elder","Population","density","Latitude","pergdp","Meantem2020","fulldate","confirmed","pc1","pc2","pc3","pc4"
"675","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-08,1,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"676","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-09,2,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"677","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-10,2,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"678","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-11,2,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"679","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-12,3,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"680","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-13,4,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"681","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-14,4,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"682","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-15,5,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"683","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-16,7,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"684","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-17,9,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"685","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-18,9,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"686","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-19,9,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"687","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-20,10,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"688","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-21,11,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"689","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-22,14,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
